tag,step,wall_time,value
epoch,49,1783729505.923104,0.0
epoch,88,1783729512.911038,0.0
epoch,99,1783729515.9838617,1.0
epoch,149,1783729523.7118757,1.0
epoch,177,1783729528.546558,1.0
epoch,199,1783729533.4502878,2.0
epoch,249,1783729541.3339825,2.0
epoch,266,1783729544.6689348,2.0
epoch,299,1783729551.3444872,3.0
epoch,349,1783729559.1033895,3.0
epoch,355,1783729560.460332,3.0
epoch,399,1783729568.7844167,4.0
epoch,444,1783729576.4085264,4.0
epoch,449,1783729578.4763312,5.0
epoch,499,1783729586.5013237,5.0
epoch,533,1783729592.4145458,5.0
epoch,549,1783729596.32274,6.0
epoch,599,1783729604.3541174,6.0
epoch,622,1783729608.422475,6.0
epoch,649,1783729613.918391,7.0
epoch,699,1783729622.0610745,7.0
epoch,711,1783729624.4154673,7.0
epoch,749,1783729631.7227833,8.0
epoch,799,1783729639.6109164,8.0
epoch,800,1783729640.1857672,8.0
epoch,849,1783729649.0487568,9.0
epoch,889,1783729655.6581192,9.0
epoch,899,1783729658.3438373,10.0
epoch,949,1783729666.4760387,10.0
epoch,978,1783729671.4120414,10.0
epoch,999,1783729676.0682795,11.0
epoch,1049,1783729684.1209664,11.0
epoch,1067,1783729687.4678502,11.0
epoch,1099,1783729693.707639,12.0
epoch,1149,1783729701.5431292,12.0
epoch,1156,1783729703.150721,12.0
epoch,1199,1783729710.9537063,13.0
epoch,1245,1783729718.5110736,13.0
epoch,1249,1783729720.3596852,14.0
epoch,1299,1783729728.0570765,14.0
epoch,1334,1783729733.8659663,14.0
epoch,1349,1783729737.7005773,15.0
epoch,1399,1783729745.6026008,15.0
epoch,1423,1783729749.6219785,15.0
epoch,1449,1783729754.7601974,16.0
epoch,1499,1783729762.4040365,16.0
epoch,1512,1783729764.8960762,16.0
epoch,1549,1783729771.9373918,17.0
epoch,1599,1783729805.03443,17.0
epoch,1601,1783729805.7596338,17.0
epoch,1649,1783729814.5125728,18.0
epoch,1690,1783729821.4133396,18.0
epoch,1699,1783729823.96636,19.0
epoch,1749,1783729831.7623885,19.0
epoch,1779,1783729836.7407453,19.0
epoch,1799,1783729841.0598078,20.0
epoch,1849,1783729848.4999852,20.0
epoch,1868,1783729851.8136005,20.0
epoch,1899,1783729857.8417284,21.0
epoch,1949,1783729865.4844534,21.0
epoch,1957,1783729867.152004,21.0
epoch,1999,1783729874.887129,22.0
epoch,2046,1783729882.0767455,22.0
epoch,2049,1783729883.7771218,23.0
epoch,2099,1783729891.0365503,23.0
epoch,2135,1783729896.7686093,23.0
epoch,2149,1783729900.144347,24.0
epoch,2199,1783729907.547513,24.0
epoch,2224,1783729911.6459575,24.0
epoch,2249,1783729916.874416,25.0
epoch,2299,1783729924.3434927,25.0
epoch,2313,1783729926.985949,25.0
epoch,2349,1783729933.6105194,26.0
epoch,2399,1783729941.1329362,26.0
epoch,2402,1783729941.9450583,26.0
epoch,2449,1783729950.595326,27.0
epoch,2491,1783729957.3892477,27.0
epoch,2499,1783729959.951,28.0
epoch,2549,1783729967.773852,28.0
epoch,2580,1783729973.0285897,28.0
epoch,2599,1783729977.287506,29.0
epoch,2649,1783729985.0409725,29.0
epoch,2669,1783729988.5847795,29.0
epoch,2699,1783729994.4969902,30.0
epoch,2749,1783730002.167695,30.0
epoch,2758,1783730004.0268276,30.0
epoch,2799,1783730011.1923778,31.0
epoch,2847,1783730018.8565874,31.0
epoch,2849,1783730020.3828712,32.0
epoch,2899,1783730028.346296,32.0
epoch,2936,1783730034.2056704,32.0
epoch,2949,1783730037.745713,33.0
epoch,2999,1783730045.369126,33.0
epoch,3025,1783730049.8826437,33.0
epoch,3049,1783730054.9576397,34.0
epoch,3099,1783730062.926454,34.0
epoch,3114,1783730065.6578069,34.0
epoch,3149,1783730072.1085324,35.0
epoch,3199,1783730080.0456688,35.0
epoch,3203,1783730081.133622,35.0
epoch,3249,1783730089.1200118,36.0
epoch,3292,1783730096.0707405,36.0
epoch,3299,1783730098.3051245,37.0
epoch,3349,1783730106.1252427,37.0
epoch,3381,1783730111.3600354,37.0
epoch,3399,1783730115.4723198,38.0
epoch,3449,1783730123.104487,38.0
epoch,3470,1783730126.7828465,38.0
epoch,3499,1783730132.2549264,39.0
epoch,3549,1783730139.4865508,39.0
epoch,3559,1783730141.1528301,39.0
epoch,3599,1783730147.896536,40.0
epoch,3648,1783730155.4209964,40.0
epoch,3649,1783730156.7486064,41.0
epoch,3699,1783730163.6656952,41.0
epoch,3737,1783730169.3861394,41.0
epoch,3749,1783730172.2347755,42.0
epoch,3799,1783730179.184009,42.0
epoch,3826,1783730183.0166674,42.0
epoch,3849,1783730187.1862917,43.0
epoch,3899,1783730194.44095,43.0
epoch,3915,1783730197.1578248,43.0
epoch,3949,1783730203.1795993,44.0
epoch,3999,1783730210.0101633,44.0
epoch,4004,1783730211.0627232,44.0
epoch,4049,1783730218.5736609,45.0
epoch,4093,1783730225.2156854,45.0
epoch,4099,1783730227.2664435,46.0
epoch,4149,1783730234.145359,46.0
epoch,4182,1783730239.0945432,46.0
epoch,4199,1783730242.5557473,47.0
epoch,4249,1783730249.4952111,47.0
epoch,4271,1783730253.0562136,47.0
epoch,4299,1783730258.0491152,48.0
epoch,4349,1783730265.0125346,48.0
epoch,4360,1783730266.8528411,48.0
epoch,4399,1783730273.4040492,49.0
epoch,4449,1783730280.1958487,49.0
epoch,4449,1783730280.5926847,49.0
epoch,4499,1783730289.2680337,50.0
epoch,4538,1783730295.1455495,50.0
epoch,4549,1783730298.1087115,51.0
epoch,4599,1783730304.7838764,51.0
epoch,4627,1783730309.1359434,51.0
epoch,4649,1783730313.7616878,52.0
epoch,4699,1783730320.8677704,52.0
epoch,4716,1783730323.6766474,52.0
epoch,4749,1783730329.480398,53.0
epoch,4799,1783730336.8642225,53.0
epoch,4805,1783730338.1042404,53.0
epoch,4849,1783730345.0271971,54.0
epoch,4894,1783730351.3616939,54.0
epoch,4899,1783730353.2216814,55.0
epoch,4949,1783730360.47996,55.0
epoch,4983,1783730365.2637436,55.0
epoch,4999,1783730368.9984677,56.0
epoch,5049,1783730376.339294,56.0
epoch,5072,1783730380.404535,56.0
epoch,5099,1783730385.6303182,57.0
epoch,5149,1783730393.04049,57.0
epoch,5161,1783730395.1631508,57.0
epoch,5199,1783730401.481847,58.0
epoch,5249,1783730408.3194177,58.0
epoch,5250,1783730408.827712,58.0
epoch,5299,1783730417.047804,59.0
epoch,5339,1783730423.1125739,59.0
epoch,5349,1783730425.755602,60.0
epoch,5399,1783730433.0159147,60.0
epoch,5428,1783730437.2364242,60.0
epoch,5449,1783730441.4003458,61.0
epoch,5499,1783730448.8055508,61.0
epoch,5517,1783730451.6687696,61.0
epoch,5549,1783730457.4433763,62.0
epoch,5599,1783730464.3000944,62.0
epoch,5606,1783730465.7730198,62.0
epoch,5649,1783730473.1395361,63.0
epoch,5695,1783730480.1232102,63.0
epoch,5699,1783730482.0926745,64.0
epoch,5749,1783730489.4998739,64.0
epoch,5784,1783730495.129741,64.0
epoch,5799,1783730498.6639624,65.0
epoch,5849,1783730505.7646391,65.0
epoch,5873,1783730509.6726217,65.0
epoch,5899,1783730514.7901406,66.0
epoch,5949,1783730521.8800044,66.0
epoch,5962,1783730523.835131,66.0
epoch,5999,1783730529.9476538,67.0
epoch,6049,1783730536.8229651,67.0
epoch,6051,1783730537.5014784,67.0
epoch,6099,1783730545.855756,68.0
epoch,6140,1783730552.0838842,68.0
epoch,6149,1783730554.544857,69.0
epoch,6199,1783730561.2331119,69.0
epoch,6229,1783730565.7411213,69.0
epoch,6249,1783730569.706602,70.0
epoch,6299,1783730576.7047977,70.0
epoch,6318,1783730579.7690597,70.0
epoch,6349,1783730585.6217277,71.0
epoch,6399,1783730592.2150836,71.0
epoch,6407,1783730593.6197393,71.0
epoch,6449,1783730600.7771995,72.0
epoch,6496,1783730607.7222283,72.0
epoch,6499,1783730609.379092,73.0
epoch,6549,1783730616.243523,73.0
epoch,6585,1783730621.249661,73.0
epoch,6599,1783730624.5258846,74.0
epoch,6649,1783730631.9096081,74.0
epoch,6674,1783730635.399946,74.0
epoch,6699,1783730640.1643429,75.0
epoch,6749,1783730647.4476867,75.0
epoch,6763,1783730649.8788137,75.0
epoch,6799,1783730656.2441533,76.0
epoch,6849,1783730663.2489135,76.0
epoch,6852,1783730664.0577831,76.0
epoch,6899,1783730671.8713372,77.0
epoch,6941,1783730678.0502973,77.0
epoch,6949,1783730680.240473,78.0
epoch,6999,1783730687.1718774,78.0
epoch,7030,1783730691.7699585,78.0
epoch,7049,1783730695.8563554,79.0
epoch,7099,1783730702.5291152,79.0
epoch,7119,1783730705.424852,79.0
epoch,7149,1783730710.6361852,80.0
epoch,7199,1783730717.5575957,80.0
epoch,7208,1783730719.1881437,80.0
epoch,7249,1783730725.800993,81.0
epoch,7297,1783730732.6318758,81.0
epoch,7299,1783730734.1666977,82.0
epoch,7349,1783730740.950588,82.0
epoch,7386,1783730746.2939997,82.0
epoch,7399,1783730749.3422916,83.0
epoch,7449,1783730756.2058163,83.0
epoch,7475,1783730759.8659518,83.0
epoch,7499,1783730764.261333,84.0
epoch,7549,1783730770.6381168,84.0
epoch,7564,1783730772.9429054,84.0
epoch,7599,1783730778.9119148,85.0
epoch,7649,1783730785.3671138,85.0
epoch,7653,1783730786.2094636,85.0
epoch,7699,1783730793.7313974,86.0
epoch,7742,1783730799.9319837,86.0
epoch,7749,1783730802.1748545,87.0
epoch,7799,1783730808.8155992,87.0
epoch,7831,1783730813.3868065,87.0
epoch,7849,1783730817.2202623,88.0
epoch,7899,1783730823.911132,88.0
epoch,7920,1783730827.0430117,88.0
epoch,7949,1783730832.2672331,89.0
epoch,7999,1783730839.440577,89.0
epoch,8009,1783730841.1837525,89.0
epoch,8049,1783730848.2391021,90.0
epoch,8098,1783730855.0433733,90.0
epoch,8099,1783730856.363014,91.0
epoch,8149,1783730863.3636198,91.0
epoch,8187,1783730868.7856536,91.0
epoch,8199,1783730871.8527048,92.0
epoch,8249,1783730879.1188524,92.0
epoch,8276,1783730882.9407272,92.0
epoch,8299,1783730887.6406536,93.0
epoch,8349,1783730894.1772516,93.0
epoch,8365,1783730896.8802469,93.0
epoch,8399,1783730903.04348,94.0
epoch,8449,1783730909.9206493,94.0
epoch,8454,1783730910.90703,94.0
epoch,8499,1783730918.7709808,95.0
epoch,8543,1783730925.6197312,95.0
epoch,8549,1783730927.7996216,96.0
epoch,8599,1783730934.9639292,96.0
epoch,8632,1783730940.0878205,96.0
epoch,8649,1783730943.8047752,97.0
epoch,8699,1783730951.1852462,97.0
epoch,8721,1783730954.5600157,97.0
epoch,8749,1783730959.9611635,98.0
epoch,8799,1783730966.576253,98.0
epoch,8810,1783730968.5379765,98.0
epoch,8849,1783730975.7800584,99.0
epoch,8899,1783730982.8683975,99.0
epoch,8899,1783730983.301867,99.0
epoch,8949,1783730991.7698343,100.0
epoch,8988,1783730997.5348864,100.0
epoch,8999,1783731000.4189975,101.0
epoch,9049,1783731007.3092368,101.0
epoch,9077,1783731011.339151,101.0
epoch,9099,1783731015.770758,102.0
epoch,9149,1783731022.705419,102.0
epoch,9166,1783731025.478174,102.0
epoch,9199,1783731031.2951622,103.0
epoch,9249,1783731038.17611,103.0
epoch,9255,1783731039.3671417,103.0
epoch,9299,1783731046.3075988,104.0
epoch,9344,1783731053.2605076,104.0
epoch,9349,1783731055.1986125,105.0
epoch,9399,1783731062.475339,105.0
epoch,9433,1783731067.6368415,105.0
epoch,9449,1783731071.1747522,106.0
epoch,9499,1783731078.2968457,106.0
epoch,9522,1783731082.235297,106.0
epoch,9549,1783731087.524734,107.0
epoch,9599,1783731094.4973612,107.0
epoch,9611,1783731096.3811917,107.0
epoch,9649,1783731103.1461942,108.0
epoch,9699,1783731110.318112,108.0
epoch,9700,1783731110.9152837,108.0
epoch,9749,1783731119.2041366,109.0
epoch,9789,1783731125.1957247,109.0
epoch,9799,1783731127.784923,110.0
epoch,9849,1783731135.1931767,110.0
epoch,9878,1783731139.8675706,110.0
epoch,9899,1783731144.4299378,111.0
epoch,9949,1783731151.331582,111.0
epoch,9967,1783731154.2912097,111.0
epoch,9999,1783731160.1701028,112.0
epoch,10049,1783731167.3142648,112.0
epoch,10056,1783731168.7623851,112.0
epoch,10099,1783731175.961649,113.0
epoch,10145,1783731182.8830194,113.0
epoch,10149,1783731184.7074869,114.0
epoch,10199,1783731191.713963,114.0
epoch,10234,1783731196.7257917,114.0
epoch,10249,1783731200.1131012,115.0
epoch,10299,1783731207.4941149,115.0
epoch,10323,1783731211.0309975,115.0
epoch,10349,1783731216.033251,116.0
epoch,10399,1783731223.5645294,116.0
epoch,10412,1783731225.8894753,116.0
epoch,10449,1783731233.1173282,117.0
epoch,10499,1783731240.1979642,117.0
epoch,10501,1783731240.820145,117.0
epoch,10549,1783731249.0210867,118.0
epoch,10590,1783731255.1594055,118.0
epoch,10599,1783731257.7201848,119.0
epoch,10649,1783731264.1781611,119.0
epoch,10679,1783731268.8412292,119.0
epoch,10699,1783731272.9702644,120.0
epoch,10749,1783731280.4015093,120.0
epoch,10768,1783731283.4972122,120.0
epoch,10799,1783731289.13556,121.0
epoch,10849,1783731296.1894197,121.0
epoch,10857,1783731297.6895418,121.0
epoch,10899,1783731305.3290417,122.0
epoch,10946,1783731312.9177468,122.0
epoch,10949,1783731314.464842,123.0
epoch,10999,1783731321.649662,123.0
epoch,11035,1783731327.4368408,123.0
epoch,11049,1783731330.6903079,124.0
epoch,11099,1783731337.824497,124.0
epoch,11124,1783731341.7984693,124.0
epoch,11149,1783731346.6450577,125.0
epoch,11199,1783731353.9511797,125.0
epoch,11213,1783731356.3511524,125.0
epoch,11249,1783731363.0034842,126.0
epoch,11299,1783731370.3172607,126.0
epoch,11302,1783731371.1009834,126.0
epoch,11349,1783731379.2124472,127.0
epoch,11391,1783731385.3053968,127.0
epoch,11399,1783731387.499201,128.0
epoch,11449,1783731394.3106165,128.0
epoch,11480,1783731398.608926,128.0
epoch,11499,1783731402.4277496,129.0
epoch,11549,1783731409.9896352,129.0
epoch,11569,1783731413.3737175,129.0
epoch,11599,1783731418.9973986,130.0
epoch,11649,1783731426.4395719,130.0
epoch,11658,1783731428.1453097,130.0
epoch,11699,1783731435.2646434,131.0
epoch,11747,1783731442.762284,131.0
epoch,11749,1783731444.2348793,132.0
epoch,11799,1783731451.1839159,132.0
epoch,11836,1783731456.703904,132.0
epoch,11849,1783731459.9446104,133.0
epoch,11899,1783731466.9143765,133.0
epoch,11925,1783731470.7362103,133.0
epoch,11949,1783731475.4526956,134.0
epoch,11999,1783731482.3996468,134.0
epoch,12014,1783731484.7819939,134.0
epoch,12049,1783731490.8123848,135.0
epoch,12099,1783731498.3945532,135.0
epoch,12103,1783731499.304393,135.0
epoch,12149,1783731507.3207934,136.0
epoch,12192,1783731513.4928923,136.0
epoch,12199,1783731515.6127317,137.0
epoch,12249,1783731522.4525294,137.0
epoch,12281,1783731527.1321025,137.0
epoch,12299,1783731530.8624759,138.0
epoch,12349,1783731537.7332869,138.0
epoch,12370,1783731541.1165457,138.0
epoch,12399,1783731546.3493545,139.0
epoch,12449,1783731553.1608818,139.0
epoch,12459,1783731554.889916,139.0
epoch,12499,1783731562.0150619,140.0
epoch,12548,1783731569.5241401,140.0
epoch,12549,1783731570.8420982,141.0
epoch,12599,1783731578.1931095,141.0
epoch,12637,1783731584.3586588,141.0
epoch,12649,1783731587.375887,142.0
epoch,12699,1783731594.7645319,142.0
epoch,12726,1783731599.4170098,142.0
epoch,12749,1783731604.0891142,143.0
epoch,12799,1783731611.2400203,143.0
epoch,12815,1783731613.8192568,143.0
epoch,12849,1783731619.8517375,144.0
epoch,12899,1783731627.0775423,144.0
epoch,12904,1783731628.1208763,144.0
epoch,12949,1783731635.9938576,145.0
epoch,12993,1783731642.8659039,145.0
epoch,12999,1783731644.8990147,146.0
epoch,13049,1783731651.7411795,146.0
epoch,13082,1783731656.4092302,146.0
epoch,13099,1783731659.9870052,147.0
epoch,13149,1783731666.5816758,147.0
epoch,13171,1783731669.9864964,147.0
epoch,13199,1783731675.4526846,148.0
epoch,13249,1783731682.3498888,148.0
epoch,13260,1783731684.1274438,148.0
epoch,13299,1783731690.9809136,149.0
epoch,13349,1783731698.04832,149.0
epoch,13349,1783731698.454092,149.0
epoch,13399,1783731706.6775715,150.0
epoch,13438,1783731712.6129656,150.0
epoch,13449,1783731715.4071245,151.0
epoch,13499,1783731722.753752,151.0
epoch,13527,1783731726.7359924,151.0
epoch,13549,1783731731.1868985,152.0
epoch,13599,1783731738.6160853,152.0
epoch,13616,1783731741.427648,152.0
epoch,13649,1783731747.4996138,153.0
epoch,13699,1783731754.5142567,153.0
epoch,13705,1783731755.6583533,153.0
epoch,13749,1783731763.3240669,154.0
epoch,13794,1783731769.9235318,154.0
epoch,13799,1783731771.8576236,155.0
epoch,13849,1783731779.1807349,155.0
epoch,13883,1783731784.5937839,155.0
epoch,13899,1783731787.9270692,156.0
epoch,13949,1783731794.873375,156.0
epoch,13972,1783731798.647949,156.0
epoch,13999,1783731804.011581,157.0
epoch,14049,1783731810.9341059,157.0
epoch,14061,1783731813.229315,157.0
epoch,14099,1783731820.0150607,158.0
epoch,14149,1783731826.8641183,158.0
epoch,14150,1783731827.3686345,158.0
epoch,14199,1783731835.449945,159.0
epoch,14239,1783731841.4562156,159.0
epoch,14249,1783731844.0628068,160.0
epoch,14299,1783731850.929405,160.0
epoch,14328,1783731855.2206535,160.0
epoch,14349,1783731859.565369,161.0
epoch,14399,1783731866.3136032,161.0
epoch,14417,1783731869.2103286,161.0
epoch,14449,1783731874.9346638,162.0
epoch,14499,1783731881.3547919,162.0
epoch,14506,1783731882.6210918,162.0
epoch,14549,1783731890.2120478,163.0
epoch,14595,1783731897.1778479,163.0
epoch,14599,1783731898.8980343,164.0
epoch,14649,1783731905.7407215,164.0
epoch,14684,1783731911.3461168,164.0
epoch,14699,1783731914.8109045,165.0
epoch,14749,1783731921.658873,165.0
epoch,14773,1783731925.201362,165.0
epoch,14799,1783731930.435634,166.0
epoch,14849,1783731937.6842337,166.0
epoch,14862,1783731939.7030857,166.0
epoch,14899,1783731945.8116775,167.0
epoch,14949,1783731952.495901,167.0
epoch,14951,1783731953.182263,167.0
epoch,14999,1783731960.8829927,168.0
epoch,15040,1783731966.9065638,168.0
epoch,15049,1783731969.3383148,169.0
epoch,15099,1783731976.0099955,169.0
epoch,15129,1783731980.510441,169.0
epoch,15149,1783731984.6190908,170.0
epoch,15199,1783731992.1851797,170.0
